-64,   1055,   -193
-64,   1039,   -193
-80,   1023,   -161
-112,    991,   -129
-160,   1023,   -145
-176,   1071,   -161
-144,   1071,   -161
-112,   1039,   -161
-96,   1023,   -177
-80,   1039,   -177
-80,   1039,   -177
-80,   1055,   -161
-96,   1071,   -145
-96,   1071,   -129
-112,   1055,   -129
-96,   1055,   -129
-80,   1039,   -161
-80,   1055,   -161
-80,   1055,   -161
-96,   1039,   -177
-64,   1039,   -161
-48,   1023,   -145
-64,   1007,   -145
-48,   1023,   -161
-48,   1039,   -145
-48,   1039,   -129
-48,   1055,    -97
-64,   1055,    -97
-80,   1071,    -97
-96,   1071,   -113
-96,   1071,   -113
-80,   1055,   -113
-64,   1039,   -113
-64,   1039,   -113
-64,   1039,   -113
-64,   1039,   -113
-64,   1039,   -129
-64,   1039,   -145
-96,   1055,   -145
-112,   1087,   -145
-80,   1055,   -145
-48,   1039,   -177
-32,   1055,   -193
-48,   1023,   -177
-64,   1039,   -145
-64,   1039,   -129
-80,   1039,   -113
-80,   1023,   -113
-80,   1039,   -129
-80,   1039,   -145
-64,   1055,   -161
-48,   1039,   -161
-32,   1055,   -161
-32,   1039,   -145
-32,   1055,   -113
-48,   1055,    -97
-48,   1071,    -97
-64,   1087,   -113
-64,   1071,   -129
-80,   1071,   -129
-96,   1055,   -177
-64,   1055,   -161
-64,   1023,   -161
-64,   1023,   -145
-80,   1023,   -145
-96,   1039,   -145
-96,   1055,   -129
-80,   1039,   -113
-64,   1023,   -129
-64,   1055,   -113
-64,   1055,   -113
-64,   1039,    -97
-64,   1055,    -97
-64,   1055,    -97
-64,   1055,   -113
-64,   1055,   -113
-64,   1055,    -97
-64,   1055,    -81
-64,   1071,    -81
-48,   1055,    -81
-48,   1055,    -97
-48,   1071,   -113
-80,   1087,   -129
-96,   1055,   -113
-96,   1039,   -113
-64,   1071,   -113
-48,   1071,   -113
-32,   1071,   -113
-48,   1039,    -97
-64,   1039,    -81
-64,   1039,    -81
-64,   1071,    -81
-64,   1055,    -97
-32,   1039,   -113
-48,   1039,    -97
-64,   1039,    -81
-96,   1055,    -65
-80,   1071,    -81
-64,   1071,    -97
-64,   1071,   -145
-64,   1071,   -129
-48,   1039,   -129
-32,   1055,    -97
-48,   1055,    -65
-48,   1055,    -65
-64,   1055,    -81
-96,   1055,    -81
-96,   1071,   -113
-112,   1071,   -113
-112,   1039,   -129
-80,   1039,    -97
-64,   1039,    -81
-80,   1039,    -81
-80,   1023,    -81
-80,   1023,    -81
-80,   1055,    -81
-80,   1071,    -65
-80,   1039,    -65
-80,   1055,    -81
-64,   1071,    -97
-48,   1071,   -113
-48,   1071,   -113
-64,   1071,    -97
-64,   1055,    -97
-64,   1023,    -81
-64,   1039,    -49
-64,   1071,    -49
-80,   1071,    -49
-80,   1055,    -81
-80,   1055,   -113
-96,   1071,   -129
-96,   1055,   -129
-112,   1055,   -129
-96,   1039,   -129
-96,   1023,   -113
-96,   1023,    -97
-96,   1023,    -81
-96,   1039,    -65
-96,   1055,    -65
-112,   1071,    -81
-112,   1087,    -97
-96,   1071,   -113
-80,   1055,   -113
-80,   1055,   -113
-64,   1039,   -129
-32,   1039,   -129
-32,   1039,   -113
-48,   1055,    -97
-80,   1055,    -97
-96,   1055,    -97
-96,   1055,    -97
-80,   1055,   -113
-80,   1039,   -129
-64,   1055,   -129
-64,   1055,   -113
-64,   1039,    -97
-64,   1039,    -97
-80,   1071,    -97
-96,   1071,    -97
-96,   1071,    -97
-96,   1071,    -97
-96,   1071,   -113
-96,   1055,   -129
-96,   1039,   -129
-96,   1023,   -129
-80,   1039,   -113
-80,   1039,   -113
-64,   1055,   -113
-64,   1039,   -113
-48,   1055,   -113
-64,   1055,    -97
-80,   1055,    -97
-80,   1071,    -97
-80,   1039,   -113
-80,   1055,   -113
-80,   1055,    -97
-80,   1039,    -97
-64,   1055,    -81
-64,   1039,    -81
-80,   1071,    -97
-96,   1087,   -113
-96,   1071,   -113
-96,   1071,   -113
-80,   1055,   -129
-80,   1055,   -129
-80,   1055,   -113
-80,   1039,   -129
-80,   1039,   -113
-80,   1023,    -97
-80,   1039,    -97
-80,   1055,    -97
-64,   1055,    -97
-64,   1055,   -113
-64,   1071,   -113
-80,   1071,   -113
-80,   1039,    -81
-96,   1055,    -81
-112,   1039,    -81
-128,   1039,    -81
-128,   1039,    -81
-128,   1055,    -97
-128,   1055,    -81
-112,   1055,    -97
-112,   1055,    -97
-96,   1055,   -113
-96,   1055,   -113
-96,   1055,   -113
-96,   1039,   -113
-80,   1039,   -113
-80,   1055,    -97
-96,   1055,    -81
-96,   1071,    -81
-64,   1055,    -97
-48,   1039,   -113
-64,   1023,    -81
-96,   1039,    -65
-128,   1055,    -65
-144,   1039,    -65
-144,   1055,    -65
-112,   1055,    -81
-80,   1039,    -97
-80,   1055,    -97
-64,   1055,    -97
-64,   1039,    -81
-96,   1039,    -81
-96,   1071,   -113
-112,   1023,   -113
-96,   1071,    -97
-80,   1055,    -81
-64,   1039,    -65
-80,   1055,    -65
-96,   1071,    -97
-96,   1039,   -145
-96,   1023,   -145
-80,   1055,   -145
-64,   1039,   -129
-64,   1039,   -113
-64,   1039,    -97
-80,   1039,    -81
-80,   1071,    -97
-96,   1071,    -97
-96,   1071,   -113
-80,   1055,   -129
-80,   1039,    -97
-80,   1023,    -81
-80,   1039,    -65
-80,   1039,    -65
-64,   1039,    -81
-64,   1039,    -97
-96,   1071,   -113
-128,   1087,   -113
-144,   1071,   -113
-144,   1055,   -113
-112,   1039,   -129
-96,   1039,   -145
-96,   1023,   -161
-80,   1039,   -145
-80,   1039,   -129
-80,   1039,   -113
-64,   1023,   -113
-80,   1023,    -97
-96,   1039,   -113
-128,   1055,    -97
-144,   1055,    -97
-128,   1055,   -113
-96,   1039,   -129
-64,   1023,   -129
-48,   1039,   -113
-48,   1039,    -81
-64,   1055,    -65
-96,   1071,    -65
-96,   1071,    -81
-96,   1071,    -97
-80,   1071,   -129
-64,   1071,   -145
-64,   1023,   -129
-48,   1007,    -97
-48,   1039,    -81
-48,   1055,    -65
-80,   1071,    -65
-80,   1087,    -81
-64,   1071,    -97
-64,   1055,   -113
-48,   1055,   -113
-48,   1055,    -97
-64,   1055,    -97
-80,   1055,    -97
-80,   1055,    -97
-96,   1055,    -97
-80,   1039,    -81
-64,   1039,    -81
-48,   1071,    -81
-64,   1055,    -97
-80,   1071,    -81
-96,   1055,    -97
-96,   1039,   -113
-96,   1039,   -129
-96,   1039,   -129
-112,   1055,   -113
-112,   1055,    -97
-96,   1055,    -97
-80,   1071,   -113
-64,   1039,   -113
-64,   1023,   -113
-80,   1055,   -113
-96,   1071,   -113
-112,   1055,    -97
-112,   1055,    -97
-96,   1055,   -113
-96,   1039,   -113
-96,   1055,    -97
-96,   1071,    -81
-96,   1055,    -81
-80,   1071,    -97
-80,   1055,   -113
-80,   1039,   -113
-96,   1039,   -113
-128,   1055,   -113
-128,   1039,   -129
-112,   1039,   -129
-96,   1023,   -129
-96,   1039,   -113
-96,   1055,    -97
-96,   1055,    -97
-80,   1039,    -81
-96,   1039,    -81
-112,   1039,    -81
-128,   1055,    -81
-128,   1039,    -81
-112,   1055,    -97
-112,   1071,    -97
-96,   1055,    -97
-80,   1039,    -97
-48,   1039,   -113
-32,   1087,   -129
-64,   1055,   -113
-80,   1071,    -65
-80,   1055,    -33
-96,   1039,    -33
-112,   1055,    -49
-112,   1071,    -81
-112,   1071,    -97
-112,   1055,   -113
-80,   1023,   -113
-64,   1023,   -113
-64,   1055,    -97
-80,   1055,    -65
-80,   1039,    -33
-96,   1039,    -33
-112,   1071,    -49
-112,   1055,    -81
-112,   1071,    -97
-112,   1055,    -97
-96,   1039,    -81
-96,   1039,    -49
-80,   1071,    -33
-96,   1119,    -65
-80,   1087,   -113
-96,   1039,   -129
-96,   1023,   -113
-112,   1007,    -65
-112,   1039,    -65
-144,   1087,    -81
-144,   1087,    -97
-144,   1055,    -97
-128,   1007,   -113
-96,    991,   -113
-80,   1023,   -113
-96,   1055,   -113
-112,   1071,   -129
-112,   1071,   -129
-144,   1071,    -97
-144,   1055,    -65
-112,   1007,    -65
-96,   1023,    -97
-64,   1055,   -129
-80,   1071,   -145
-80,   1071,   -129
-80,   1071,    -81
-96,   1055,    -33
-112,   1039,    -33
-96,   1039,    -65
-96,   1087,    -97
-112,   1071,   -113
-96,   1055,   -113
-96,   1039,   -129
-80,   1039,   -129
-80,   1023,   -113
-96,   1007,   -113
-80,   1039,    -97
-96,   1071,    -81
-96,   1071,    -81
-80,   1055,    -65
-64,   1039,    -81
-64,   1039,    -81
-64,   1055,    -97
-80,   1071,    -81
-80,   1071,    -65
-96,   1039,    -49
-96,   1039,    -49
-96,   1039,    -65
-96,   1055,    -81
-112,   1071,    -97
